ORDEM,MUNICIPIO,NOME_PREFEITO,EMAIL_PREFEITO,NOME_SECRETARIO,EMAIL_SECRETARIO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,PERCENTUAL_GANHO,MATRICULAS,ARQUIVO_PDF,LINK_PDF
315,Luiziânia,,,,,,R$ 2.158.099,36.83%,632,315_Luiziânia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/315_Luizi%C3%A2nia.pdf
316,Lupércio,,,,,,R$ 1.853.625,50.24%,466,316_Lupércio.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/316_Lup%C3%A9rcio.pdf
317,Lutécia,,,,,,R$ 1.559.283,61.75%,321,317_Lutécia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/317_Lut%C3%A9cia.pdf
318,Macatuba,,,,,,R$ 6.377.927,38.17%,1.973,318_Macatuba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/318_Macatuba.pdf
319,Macaubal,,,,,,R$ 2.664.848,57.02%,589,319_Macaubal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/319_Macaubal.pdf
320,Macedônia,,,,,,R$ 1.086.287,30.09%,354,320_Macedônia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/320_Maced%C3%B4nia.pdf
321,Magda,,,,,,R$ 1.272.390,42.04%,292,321_Magda.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/321_Magda.pdf
322,Mairinque,,,,,,R$ 27.485.755,44.11%,7.734,322_Mairinque.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/322_Mairinque.pdf
323,Mairiporã,,,,,,R$ 31.231.514,45.25%,8.634,323_Mairiporã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/323_Mairipor%C3%A3.pdf
324,Manduri,,,,,,R$ 4.094.224,55.18%,943,324_Manduri.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/324_Manduri.pdf
325,Maraba Paulista,,,,,,R$ 1.727.164,65.42%,344,325_Maraba_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/325_Maraba_Paulista.pdf
326,Maracaí,,,,,,R$ 4.045.800,40.74%,1.236,326_Maracaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/326_Maraca%C3%AD.pdf
327,Marapoama,,,,,,R$ 1.188.884,36.14%,339,327_Marapoama.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/327_Marapoama.pdf
328,Mariápolis,,,,,,R$ 1.409.779,49.43%,310,328_Mariápolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/328_Mari%C3%A1polis.pdf
329,Marília,,,,,,R$ 54.364.840,34.0%,18.711,329_Marília.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/329_Mar%C3%ADlia.pdf
330,Marinópolis,,,,,,R$ 1.029.267,52.72%,188,330_Marinópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/330_Marin%C3%B3polis.pdf
331,Martinópolis,,,,,,R$ 8.420.115,46.39%,2.251,331_Martinópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/331_Martin%C3%B3polis.pdf
332,Matão,,,,,,R$ 18.619.002,37.24%,5.887,332_Matão.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/332_Mat%C3%A3o.pdf
333,Mauá,,,,,,R$ 45.504.263,30.3%,16.635,333_Mauá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/333_Mau%C3%A1.pdf
334,Mendonça,,,,,,R$ 1.174.379,15.06%,773,334_Mendonça.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/334_Mendon%C3%A7a.pdf
335,Meridiano,,,,,,R$ 1.363.757,26.62%,510,335_Meridiano.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/335_Meridiano.pdf
336,Mesópolis,,,,,,R$ 1.317.629,60.47%,246,336_Mesópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/336_Mes%C3%B3polis.pdf
337,Miguelópolis,,,,,,R$ 7.828.776,37.1%,2.666,337_Miguelópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/337_Miguel%C3%B3polis.pdf
338,Mineiros do Tietê,,,,,,R$ 2.848.499,30.22%,1.073,338_Mineiros_do_Tietê.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/338_Mineiros_do_Tiet%C3%AA.pdf
339,Mira Estrela,,,,,,R$ 1.502.571,55.01%,310,339_Mira_Estrela.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/339_Mira_Estrela.pdf
340,Miracatu,,,,,,R$ 7.504.235,34.42%,2.358,340_Miracatu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/340_Miracatu.pdf
341,Mirandópolis,,,,,,R$ 6.184.369,43.7%,1.652,341_Mirandópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/341_Mirand%C3%B3polis.pdf
342,Mirante do Paranapanema,,,,,,R$ 3.258.139,31.39%,1.148,342_Mirante_do_Paranapanema.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/342_Mirante_do_Paranapanema.pdf
343,Mirassol,,,,,,R$ 13.764.561,32.21%,5.181,343_Mirassol.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/343_Mirassol.pdf
344,Mirassolândia,,,,,,R$ 2.073.032,44.65%,558,344_Mirassolândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/344_Mirassol%C3%A2ndia.pdf
345,Mococa,,,,,,R$ 16.226.232,44.86%,4.538,345_Mococa.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/345_Mococa.pdf
346,Mogi das Cruzes,,,,,,R$ 123.065.088,29.81%,47.727,346_Mogi_das_Cruzes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/346_Mogi_das_Cruzes.pdf
347,Mogi Guaçu,,,,,,R$ 57.440.848,43.34%,16.831,347_Mogi_Guaçu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/347_Mogi_Gua%C3%A7u.pdf
348,Mogi Mirim,,,,,,R$ 28.132.994,40.52%,8.484,348_Mogi_Mirim.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/348_Mogi_Mirim.pdf
349,Mombuca,,,,,,R$ 3.176.244,45.19%,873,349_Mombuca.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/349_Mombuca.pdf
350,Moncoes,,,,,,R$ 1.031.578,52.89%,195,350_Moncoes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/350_Moncoes.pdf
351,Mongaguá,,,,,,R$ 40.196.371,50.89%,10.176,351_Mongaguá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/351_Mongagu%C3%A1.pdf
352,Monte Alegre do Sul,,,,,,R$ 4.221.714,53.05%,1.062,352_Monte_Alegre_do_Sul.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/352_Monte_Alegre_do_Sul.pdf
353,Monte Alto,,,,,,R$ 10.079.340,26.53%,4.546,353_Monte_Alto.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/353_Monte_Alto.pdf
354,Monte Aprazível,,,,,,R$ 7.419.048,34.2%,2.572,354_Monte_Aprazível.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/354_Monte_Apraz%C3%ADvel.pdf
355,Monte Azul Paulista,,,,,,R$ 5.821.248,32.45%,2.018,355_Monte_Azul_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/355_Monte_Azul_Paulista.pdf
356,Monte Castelo,,,,,,R$ 1.983.607,60.88%,422,356_Monte_Castelo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/356_Monte_Castelo.pdf
357,Monte Mor,,,,,,R$ 35.777.495,42.54%,10.661,357_Monte_Mor.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/357_Monte_Mor.pdf
358,Monteiro Lobato,,,,,,R$ 2.590.283,60.0%,507,358_Monteiro_Lobato.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/358_Monteiro_Lobato.pdf
359,Morro Agudo,,,,,,R$ 15.269.375,48.94%,3.991,359_Morro_Agudo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/359_Morro_Agudo.pdf
360,Morungaba,,,,,,R$ 8.483.812,53.94%,2.035,360_Morungaba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/360_Morungaba.pdf
361,Motuca,,,,,,R$ 2.626.811,52.95%,613,361_Motuca.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/361_Motuca.pdf
362,Murutinga do Sul,,,,,,R$ 1.299.904,38.49%,318,362_Murutinga_do_Sul.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/362_Murutinga_do_Sul.pdf
363,Nantes,,,,,,R$ 1.968.862,81.66%,319,363_Nantes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/363_Nantes.pdf
364,Narandiba,,,,,,R$ 4.454.988,43.54%,1.211,364_Narandiba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/364_Narandiba.pdf
365,Natividade da Serra,,,,,,R$ 2.563.403,48.01%,621,365_Natividade_da_Serra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/365_Natividade_da_Serra.pdf
366,Nazaré Paulista,,,,,,R$ 5.952.484,39.31%,1.755,366_Nazaré_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/366_Nazar%C3%A9_Paulista.pdf
367,Neves Paulista,,,,,,R$ 3.200.721,48.97%,790,367_Neves_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/367_Neves_Paulista.pdf
368,Nhandeara,,,,,,R$ 2.298.137,38.28%,683,368_Nhandeara.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/368_Nhandeara.pdf
369,Nipoã,,,,,,R$ 2.600.421,49.75%,643,369_Nipoã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/369_Nipo%C3%A3.pdf
370,Nova Aliança,,,,,,R$ 2.551.802,33.5%,833,370_Nova_Aliança.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/370_Nova_Alian%C3%A7a.pdf
371,Nova Campina,,,,,,R$ 5.457.146,42.36%,1.542,371_Nova_Campina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/371_Nova_Campina.pdf
372,Nova Canaã Paulista,,,,,,R$ 1.022.244,61.1%,168,372_Nova_Canaã_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/372_Nova_Cana%C3%A3_Paulista.pdf
373,Nova Castilho,,,,,,R$ 1.009.765,76.37%,132,373_Nova_Castilho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/373_Nova_Castilho.pdf
374,Nova Europa,,,,,,R$ 5.292.087,44.34%,1.475,374_Nova_Europa.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/374_Nova_Europa.pdf
375,Nova Granada,,,,,,R$ 6.590.073,46.45%,1.772,375_Nova_Granada.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/375_Nova_Granada.pdf
376,Nova Guataporanga,,,,,,R$ 1.550.745,82.22%,228,376_Nova_Guataporanga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/376_Nova_Guataporanga.pdf
377,Nova Independência,,,,,,R$ 2.325.657,30.62%,821,377_Nova_Independência.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/377_Nova_Independ%C3%AAncia.pdf
378,Nova Luzitânia,,,,,,R$ 1.063.605,36.53%,288,378_Nova_Luzitânia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/378_Nova_Luzit%C3%A2nia.pdf
379,Nova Odessa,,,,,,R$ 16.845.470,39.16%,5.209,379_Nova_Odessa.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/379_Nova_Odessa.pdf
380,Novais,,,,,,R$ 3.358.239,48.93%,844,380_Novais.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/380_Novais.pdf
381,Novo Horizonte,,,,,,R$ 16.418.814,42.19%,4.741,381_Novo_Horizonte.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/381_Novo_Horizonte.pdf
382,Nuporanga,,,,,,R$ 3.772.875,38.58%,1.134,382_Nuporanga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/382_Nuporanga.pdf
383,Ocauçu,,,,,,R$ 1.529.307,33.63%,524,383_Ocauçu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/383_Ocau%C3%A7u.pdf
384,Óleo,,,,,,R$ 909.809,36.34%,260,384_Óleo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/384_%C3%93leo.pdf
385,Olímpia,,,,,,R$ 18.069.803,34.34%,6.001,385_Olímpia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/385_Ol%C3%ADmpia.pdf
386,Onda Verde,,,,,,R$ 2.148.655,46.16%,583,386_Onda_Verde.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/386_Onda_Verde.pdf
387,Oriente,,,,,,R$ 1.057.306,19.72%,550,387_Oriente.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/387_Oriente.pdf
388,Orindiúva,,,,,,R$ 1.320.062,12.5%,1.032,388_Orindiúva.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/388_Orindi%C3%BAva.pdf
389,Orlândia,,,,,,R$ 14.133.695,31.14%,5.264,389_Orlândia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/389_Orl%C3%A2ndia.pdf
390,Osasco,,,,,,R$ 233.296.497,43.68%,67.997,390_Osasco.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/390_Osasco.pdf
391,Oscar Bressane,,,,,,R$ 2.018.026,75.3%,330,391_Oscar_Bressane.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/391_Oscar_Bressane.pdf
392,Osvaldo Cruz,,,,,,R$ 3.804.401,20.22%,1.920,392_Osvaldo_Cruz.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/392_Osvaldo_Cruz.pdf
393,Ourinhos,,,,,,R$ 37.994.400,48.41%,10.116,393_Ourinhos.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/393_Ourinhos.pdf
394,Ouro Verde,,,,,,R$ 4.294.592,40.93%,1.322,394_Ouro_Verde.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/394_Ouro_Verde.pdf
395,Ouroeste,,,,,,R$ 2.102.967,18.3%,1.142,395_Ouroeste.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/395_Ouroeste.pdf
396,Pacaembu,,,,,,R$ 3.258.203,50.41%,788,396_Pacaembu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/396_Pacaembu.pdf
397,Palestina,,,,,,R$ 5.680.495,42.79%,1.695,397_Palestina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/397_Palestina.pdf
398,Palmares Paulista,,,,,,R$ 3.468.407,40.96%,1.050,398_Palmares_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/398_Palmares_Paulista.pdf
399,Palmeira DOeste,,,,,,R$ 2.242.604,43.93%,618,399_Palmeira_DOeste.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/399_Palmeira_DOeste.pdf
400,Palmital,,,,,,R$ 3.928.279,23.85%,1.825,400_Palmital.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/400_Palmital.pdf
401,Panorama,,,,,,R$ 6.224.228,51.89%,1.488,401_Panorama.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/401_Panorama.pdf
402,Paraguaçu Paulista,,,,,,R$ 21.782.612,47.9%,5.746,402_Paraguaçu_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/402_Paragua%C3%A7u_Paulista.pdf
403,Paraibuna,,,,,,R$ 6.495.987,50.08%,1.641,403_Paraibuna.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/403_Paraibuna.pdf
404,Paraíso,,,,,,R$ 3.161.278,44.35%,855,404_Paraíso.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/404_Para%C3%ADso.pdf
405,Paranapanema,,,,,,R$ 9.572.554,34.73%,3.266,405_Paranapanema.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/405_Paranapanema.pdf
406,Paranapuã,,,,,,R$ 2.264.001,53.15%,495,406_Paranapuã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/406_Paranapu%C3%A3.pdf
407,Parapuã,,,,,,R$ 2.785.015,36.05%,881,407_Parapuã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/407_Parapu%C3%A3.pdf
408,Pardinho,,,,,,R$ 4.935.792,51.64%,1.268,408_Pardinho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/408_Pardinho.pdf
409,Pariquera-Açu,,,,,,R$ 5.456.500,37.64%,1.724,409_Pariquera-Açu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/409_Pariquera-A%C3%A7u.pdf
410,Parisi,,,,,,R$ 1.077.514,32.23%,328,410_Parisi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/410_Parisi.pdf
411,Patrocínio Paulista,,,,,,R$ 6.834.084,49.82%,1.719,411_Patrocínio_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/411_Patroc%C3%ADnio_Paulista.pdf
412,Paulicéia,,,,,,R$ 3.673.459,46.02%,1.022,412_Paulicéia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/412_Paulic%C3%A9ia.pdf
413,Paulínia,,,,,,R$ 46.772.811,42.4%,13.714,413_Paulínia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/413_Paul%C3%ADnia.pdf
414,Paulistânia,,,,,,R$ 1.572.292,67.27%,273,414_Paulistânia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/414_Paulist%C3%A2nia.pdf
415,Paulo de Faria,,,,,,R$ 3.764.825,47.51%,984,415_Paulo_de_Faria.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/415_Paulo_de_Faria.pdf
416,Pederneiras,,,,,,R$ 13.009.955,34.49%,4.351,416_Pederneiras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/416_Pederneiras.pdf
417,Pedra Bela,,,,,,R$ 2.949.675,37.19%,850,417_Pedra_Bela.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/417_Pedra_Bela.pdf
418,Pedranópolis,,,,,,R$ 1.340.321,59.69%,245,418_Pedranópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/418_Pedran%C3%B3polis.pdf
419,Pedregulho,,,,,,R$ 5.619.826,41.55%,1.728,419_Pedregulho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/419_Pedregulho.pdf
420,Pedreira,,,,,,R$ 11.040.509,29.64%,4.241,420_Pedreira.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/420_Pedreira.pdf
421,Pedrinhas Paulista,,,,,,R$ 886.290,28.72%,316,421_Pedrinhas_Paulista.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/421_Pedrinhas_Paulista.pdf
422,Pedro de Toledo,,,,,,R$ 4.205.465,44.07%,1.107,422_Pedro_de_Toledo.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/422_Pedro_de_Toledo.pdf
423,Penápolis,,,,,,R$ 7.284.498,14.44%,5.298,423_Penápolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/423_Pen%C3%A1polis.pdf
424,Pereira Barreto,,,,,,R$ 5.166.956,24.69%,2.334,424_Pereira_Barreto.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/424_Pereira_Barreto.pdf
425,Pereiras,,,,,,R$ 3.355.314,43.98%,911,425_Pereiras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/425_Pereiras.pdf
426,Peruíbe,,,,,,R$ 29.056.693,44.07%,7.995,426_Peruíbe.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/426_Peru%C3%ADbe.pdf
427,Piacatu,,,,,,R$ 1.580.106,31.73%,534,427_Piacatu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/427_Piacatu.pdf
428,Piedade,,,,,,R$ 18.638.153,42.63%,5.196,428_Piedade.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/428_Piedade.pdf
429,Pilar do Sul,,,,,,R$ 10.552.390,37.51%,3.232,429_Pilar_do_Sul.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/429_Pilar_do_Sul.pdf
430,Pindamonhangaba,,,,,,R$ 58.151.449,49.63%,15.101,430_Pindamonhangaba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/430_Pindamonhangaba.pdf
431,Pindorama,,,,,,R$ 6.512.833,46.58%,1.721,431_Pindorama.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/431_Pindorama.pdf
432,Pinhalzinho,,,,,,R$ 8.201.293,44.08%,2.279,432_Pinhalzinho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/432_Pinhalzinho.pdf
433,Piquerobi,,,,,,R$ 1.920.524,67.39%,327,433_Piquerobi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/433_Piquerobi.pdf
434,Piquete,,,,,,R$ 2.678.574,35.0%,917,434_Piquete.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/434_Piquete.pdf
435,Piracaia,,,,,,R$ 10.225.470,35.91%,3.290,435_Piracaia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/435_Piracaia.pdf
436,Piracicaba,,,,,,R$ 114.447.315,38.85%,35.912,436_Piracicaba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/436_Piracicaba.pdf
437,Piraju,,,,,,R$ 10.214.598,39.89%,3.045,437_Piraju.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/437_Piraju.pdf
438,Pirajuí,,,,,,R$ 4.675.382,32.83%,1.703,438_Pirajuí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/438_Piraju%C3%AD.pdf
439,Pirangi,,,,,,R$ 3.297.303,46.7%,910,439_Pirangi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/439_Pirangi.pdf
440,Pirapora do Bom Jesus,,,,,,R$ 9.515.659,32.39%,3.627,440_Pirapora_do_Bom_Jesus.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/440_Pirapora_do_Bom_Jesus.pdf
441,Pirapozinho,,,,,,R$ 7.757.666,39.97%,2.423,441_Pirapozinho.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/441_Pirapozinho.pdf
442,Pirassununga,,,,,,R$ 14.737.299,31.7%,5.143,442_Pirassununga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/442_Pirassununga.pdf
443,Piratininga,,,,,,R$ 3.643.155,35.05%,1.166,443_Piratininga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/443_Piratininga.pdf
444,Pitangueiras,,,,,,R$ 10.925.887,34.79%,3.844,444_Pitangueiras.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/444_Pitangueiras.pdf
445,Planalto,,,,,,R$ 2.119.318,61.69%,443,445_Planalto.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/445_Planalto.pdf
446,Platina,,,,,,R$ 1.115.454,33.25%,382,446_Platina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/446_Platina.pdf
447,Poá,,,,,,R$ 51.364.161,48.56%,13.482,447_Poá.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/447_Po%C3%A1.pdf
448,Poloni,,,,,,R$ 1.178.030,40.86%,311,448_Poloni.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/448_Poloni.pdf
449,Pompéia,,,,,,R$ 5.665.845,32.07%,1.953,449_Pompéia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/449_Pomp%C3%A9ia.pdf
450,Pongaí,,,,,,R$ 2.174.922,85.52%,347,450_Pongaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/450_Ponga%C3%AD.pdf
451,Pontal,,,,,,R$ 17.570.443,48.87%,4.630,451_Pontal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/451_Pontal.pdf
452,Pontalinda,,,,,,R$ 2.344.119,54.58%,490,452_Pontalinda.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/452_Pontalinda.pdf
453,Pontes Gestal,,,,,,R$ 1.059.979,37.17%,277,453_Pontes_Gestal.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/453_Pontes_Gestal.pdf
454,Populina,,,,,,R$ 1.347.307,36.54%,363,454_Populina.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/454_Populina.pdf
455,Porangaba,,,,,,R$ 2.536.000,26.51%,898,455_Porangaba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/455_Porangaba.pdf
456,Porto Feliz,,,,,,R$ 27.491.717,43.96%,7.772,456_Porto_Feliz.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/456_Porto_Feliz.pdf
457,Porto Ferreira,,,,,,R$ 17.161.867,39.87%,4.990,457_Porto_Ferreira.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/457_Porto_Ferreira.pdf
458,Potim,,,,,,R$ 9.888.565,42.47%,2.829,458_Potim.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/458_Potim.pdf
459,Potirendaba,,,,,,R$ 9.250.373,40.94%,2.730,459_Potirendaba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/459_Potirendaba.pdf
460,Pracinha,,,,,,R$ 1.427.605,109.99%,157,460_Pracinha.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/460_Pracinha.pdf
461,Pradópolis,,,,,,R$ 5.948.646,27.09%,2.564,461_Pradópolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/461_Prad%C3%B3polis.pdf
462,Praia Grande,,,,,,R$ 192.020.264,44.53%,53.875,462_Praia_Grande.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/462_Praia_Grande.pdf
463,Pratânia,,,,,,R$ 1.724.075,23.83%,720,463_Pratânia.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/463_Prat%C3%A2nia.pdf
464,Presidente Alves,,,,,,R$ 1.188.201,87.01%,149,464_Presidente_Alves.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/464_Presidente_Alves.pdf
465,Presidente Bernardes,,,,,,R$ 2.761.080,25.07%,1.161,465_Presidente_Bernardes.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/465_Presidente_Bernardes.pdf
466,Presidente Epitácio,,,,,,R$ 6.194.272,25.17%,2.701,466_Presidente_Epitácio.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/466_Presidente_Epit%C3%A1cio.pdf
467,Presidente Prudente,,,,,,R$ 59.637.270,37.38%,18.569,467_Presidente_Prudente.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/467_Presidente_Prudente.pdf
