ORDEM,MUNICIPIO,NOME_PREFEITO,EMAIL_PREFEITO,NOME_SECRETARIO,EMAIL_SECRETARIO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,PERCENTUAL_GANHO,MATRICULAS,ARQUIVO_PDF,LINK_PDF
585,Sud Mennucci,,,,,,R$ 2.758.455,26.34%,1.104,585_Sud_Mennucci.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/585_Sud_Mennucci.pdf
586,Sumaré,,,,,,R$ 87.867.981,43.58%,25.086,586_Sumaré.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/586_Sumar%C3%A9.pdf
587,Suzanápolis,,,,,,R$ 1.633.145,54.34%,395,587_Suzanápolis.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/587_Suzan%C3%A1polis.pdf
588,Suzano,,,,,,R$ 92.038.670,42.42%,26.800,588_Suzano.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/588_Suzano.pdf
589,Tabapuã,,,,,,R$ 3.592.761,30.06%,1.386,589_Tabapuã.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/589_Tabapu%C3%A3.pdf
590,Tabatinga,,,,,,R$ 6.913.131,44.6%,1.860,590_Tabatinga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/590_Tabatinga.pdf
591,Taboão da Serra,,,,,,R$ 80.154.015,41.87%,23.853,591_Taboão_da_Serra.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/591_Tabo%C3%A3o_da_Serra.pdf
592,Taciba,,,,,,R$ 2.240.242,32.59%,789,592_Taciba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/592_Taciba.pdf
593,Taguaí,,,,,,R$ 4.188.387,27.97%,1.626,593_Taguaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/593_Tagua%C3%AD.pdf
594,Taiaçu,,,,,,R$ 2.522.041,42.18%,641,594_Taiaçu.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/594_Taia%C3%A7u.pdf
595,Taiúva,,,,,,R$ 1.818.233,31.23%,599,595_Taiúva.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/595_Tai%C3%BAva.pdf
596,Tambaú,,,,,,R$ 5.532.579,33.17%,1.979,596_Tambaú.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/596_Tamba%C3%BA.pdf
597,Tanabi,,,,,,R$ 8.707.271,38.92%,2.694,597_Tanabi.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/597_Tanabi.pdf
598,Tapiraí,,,,,,R$ 1.968.322,20.21%,951,598_Tapiraí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/598_Tapira%C3%AD.pdf
599,Tapiratiba,,,,,,R$ 5.406.614,35.56%,1.810,599_Tapiratiba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/599_Tapiratiba.pdf
600,Taquaral,,,,,,R$ 1.181.352,57.74%,231,600_Taquaral.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/600_Taquaral.pdf
601,Taquaritinga,,,,,,R$ 10.514.889,27.89%,4.382,601_Taquaritinga.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/601_Taquaritinga.pdf
602,Taquarituba,,,,,,R$ 6.898.763,31.33%,2.626,602_Taquarituba.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/602_Taquarituba.pdf
603,Taquarivaí,,,,,,R$ 4.289.205,41.95%,1.249,603_Taquarivaí.pdf,https://apm-fundeb-sp.vercel.app/relatorios-apm/603_Taquariva%C3%AD.pdf
